22.13, 20.22, 21
11.89, 6.65, 19
26.45, 18.27, 74
30.90, 16.85, 66
24.57, 21.96, 31
34.95, 25.94, 85
17.44, 18.52, 50
1.32, 4.51, 74
37.09, 13.94, 16
31.60, 22.00, 3
5.46, 31.36, 49
34.87, 6.29, 74
10.33, 10.94, 12
17.60, 3.16, 42
12.38, 19.68, 2
9.49, 24.46, 68
12.81, 26.76, 7
35.51, 28.61, 3
11.61, 19.60, 86
39.69, 19.16, 74
39.49, 2.54, 44
6.59, 7.63, 76
36.28, 15.90, 49
19.25, 4.20, 11
9.65, 3.87, 6
2.10, 26.64, 32
18.61, 15.70, 34
25.46, 7.66, 4
4.37, 15.32, 1
33.75, 23.20, 46
30.93, 20.69, 57
26.65, 3.32, 22
5.10, 29.85, 65
16.83, 6.71, 41
17.00, 20.18, 88
29.67, 19.56, 7
11.23, 0.40, 36
34.44, 6.45, 49
30.99, 24.07, 81
7.77, 14.35, 52
25.49, 28.45, 52
36.46, 23.18, 41
2.09, 20.64, 36
35.83, 7.14, 64
13.51, 26.34, 84
14.46, 8.06, 39
4.77, 31.61, 43
26.32, 20.84, 2
9.43, 4.42, 43
16.38, 18.96, 39
